Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Katharina Rühlmann,,Justitia im Uterus,Wie Gesetze um den Schwangerschaftsabbruch Gerechtigkeit verhindern und fundamentale Grundrechte in Frage stellen,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=860,,,,,,Deutschland
Lilli Hasche,,Der Beginn menschlichen Lebens in der Abtreibungsdebatte,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=867,,,,,,Deutschland
Dolores Sarancic und Thomas Stecher,,Reflexion statt Tradition,Diskussion zur Umbenennung des Palandt,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=849,,,,,,Deutschland
Senta Hirscheider,,ARBEIT! WOHNEN!,Eine Rezension,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=876,,,,,,Deutschland
Isabel Daum und Yannis Haug-Jurgan,,Wer kontrolliert die Zertifizierer?,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=873,,,,,,Deutschland
André Paschke,,Hans-Georg Maaßen – Jurist für Deutschland,Eine Zwischenbilanz,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=871,,,,,,Deutschland
"Elisabeth Albrecht, Freiburg i. Br.",,Erfolgreiche Revision Hänels ein wirklicher Erfolg?,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=891,,,,,,Deutschland
"Fabian Grona, Freiburg",,Vermisst – Unabhängigkeit der Staatsanwaltschaft,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=889,,,,,,Deutschland
"Felix Frank, Freiburg",,Friedliche Sitzblockade als grobe Störung,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=886,,,,,,Deutschland
"Tim Vosshenrich, Leipzig",,Undeutsch ist nicht linksextremistisch,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=884,,,,,,Deutschland
ED,,Vom Opfer zum Täter,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=882,,,,,,Deutschland
VF,,Und auf ein Neues,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=878,,,,,,Deutschland
"Theresa Tschenker, Berlin",,Studentin erstreitet höheren Lohn,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=220,,,,,,Deutschland
"Malte Stedtnitz, Amsterdam",,Fünf gerade,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=218,,,,,,Deutschland
Henning Meinken,,Streikrecht muss effektiv gewährleistet sein,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=216,,,,,,Deutschland
Anonym,,Antizionismus doch diskriminierend,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=214,,,,,,Deutschland
Anonym,,Bayrischer Polizist kämpft um Tatoo,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=212,,,,,,Deutschland
Tanja Nitschke,,Geistiges Eigentum ist Diebstahl,Freie Software vs. Software-Patente,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1683,,,,,,Deutschland
Claudia Perlitius,,"Frage nicht, was der Staat für dich tun kann",Soziale Sicherheit wird zum Privatproblem,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1681,,,,,,Deutschland
Carsten Gericke,,„Territorien des Wohlfühlens“ durch sozialen Ausschluss,Die Deutsche Bahn AG als Sicherheitsakteurin und Motor der Umstrukturierung des öffentlichen Raums,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1679,,,,,,Deutschland
Sven Barske,,Archipel Gulag,In den USA haben Privatisierungen eine ganze Bestrafungsindustrie entstehen lassen,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1676,,,,,,Deutschland
Claus Binder,,Privatisierung als hegemoniale Übung,Oder: Ein Lehrstück wider die Kunst einer optimalen Steuerung,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1674,,,,,,Deutschland
Jens Neubert,,"Wer statt Privatisierung mehr Staat fordert, kommt vom Regen in die Traufe",,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1672,,,,,,Deutschland
Jan Gehrken,,Datensammlung,Auf dem Weg zur elektronischen Komplettüberwachung,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1688,,,,,,Deutschland
Sandra Smykalla,,Gender Mainstreaming,– eine gleichstellungspolitische Strategie in der Diskussion,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1685,,,,,,Deutschland
[FoR Redaktion],,ReKus 3/2002,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1693,,,,,,Deutschland
[FoR Redaktion],,Politische Justiz,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1697,,,,,,Deutschland
[FoR Redaktion],,Sammelsurium,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1695,,,,,,Deutschland
[FoR Redaktion],,BAKJ-Seite,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1699,,,,,,Deutschland
Uwe Giffei und Sonja Staack,,Ohne eigenen Tarifvertrag und häufig um den BAT geprellt,Die soziale Absicherung Studentischer Beschäftigter ist weitgehend privatisiert,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1690,,,,,,Deutschland
[FoR Redaktion],,Editorial,,Forum Recht,FoR,,,,,,,,https://forum-recht-online.de/wp/?p=1670,,,,,,Deutschland
Caroline Omari Lichuma,,Of Dark Clouds and Their Silver Linings: Crisis as Opportunity in the Economic and Social Rights Jurisprudence of the European Court of Human Rights,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/121/Lichuma.pdf,,,,,,,,,Deutschland
Francis Maxwell,,"Missed Communications and Miscommunications: International Courts, the Fragmentation of International Law and Judicial Dialogue",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/121/Maxwell.pdf,,,,,,,,,Deutschland
Chiara Redealli,,Military Intervention on Request in Jus Ad Bellum and Jus In Bello and the question of recognition of governments,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/121/Redealli.pdf,,,,,,,,,Deutschland
Janina Barkholdt,,Is the International Law Commission Taking Regionalism Seriously (Enough)?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/121/Barkholdt.pdf,,,,,,,,,Deutschland
Dan Yao and Mingzhe Zhu,,Dynamic Belt and Road Initiative and the Global South’s Approach to Sustainability,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/121/Yao_Zhu.pdf,,,,,,,,,Deutschland
Giulia Ciliberto,,The Challenges of Redressing Violations of Economic and Social Rights in the Aftermath of the Eurozone Sovereign Debt Crisis,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/111/Ciliberto_Final.pdf,,,,,,,,,Deutschland
Niall O’Shaughnessy,,"The Soft Touch of International Financial Regulation: Status, Flaws and Future",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/111/OSchaughnessy_Final.pdf,,,,,,,,,Deutschland
Julia Klaus,,The Evolution of the Prohibition of Genocide: From Natural Law Enthusiasm to Lackadaisical Judicial Perfunctoriness – And Back Again?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/111/Klaus_Final.pdf,,,,,,,,,Deutschland
Ammar Bustami and Marie-Christine Hecken,,Perspectives for a New International Crime Against the Environment: International Criminal Responsibility for Environmental Degradation under the Rome Statute,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/111/BustamiHecken_Final.pdf,,,,,,,,,Deutschland
Natalie Alkiviadou and Andrea Manoli,,The European Court of Human Rights Through the Looking Glass of Gender: An Evaluation,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/111/ManoliAlkiviadou_Final.pdf,,,,,,,,,Deutschland
Stavros-Evdokimos Pantazopoulos,,Reflections on the Legality of Attacks Against the Natural Environment by Way of Reprisals,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_pantazopoulos.pdf,,,,,,,,,Deutschland
Elaine (Lan Yin) Hsiao,,Protecting Protected Areas in Bello: Learning From Institutional Design and Conflict Resilience in the Greater Virunga and Kidepo Landscapes,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_hsiao.pdf,,,,,,,,,Deutschland
Daniëlla Dam-de Jong and Saskia Wolters,,Through the Looking Glass: Corporate Actors and Environmental Harm Beyond the ILC,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_damdejong_wolters.pdf,,,,,,,,,Deutschland
Marie Davoise,,"Business, Armed Conflict, and Protection of the Environment: What Avenues for Corporate Accountability?",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_davoise.pdf,,,,,,,,,Deutschland
Karen Hulme,,Enhancing Environmental Protection During Occupation Through Human Rights,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_hulme.pdf,,,,,,,,,Deutschland
Dieter Fleck,,The Martens Clause and Environmental Protection in Relation to Armed Conflicts,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_fleck.pdf,,,,,,,,,Deutschland
Michael Bothe,,Precaution in International Environmental Law and Precautions in the Law of Armed Conflict,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_bothe.pdf,,,,,,,,,Deutschland
Keina Yoshida,,The Protection of the Environment: A Gendered Analysis,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_yoshida.pdf,,,,,,,,,Deutschland
"Kirsten Davies, Thomas Riddell and Jürgen Scheffran",,Preventing a Warming War: Protection of the Environment and Reducing Climate Conflict Risk as a Challenge of International Law,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/101/101_article_davies_riddell_scheffran.pdf,,,,,,,,,Deutschland
Severin Meier,,Reconciling the Irreconcilable? – The Extraterritorial Application of the ECHR and its Interaction With IHL,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_meier.pdf,,,,,,,,,Deutschland
Deepak Mawar,,The Perils of Judicial Restraint: How Judicial Activism Can Help Evolve the International Court of Justice,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_mawar.pdf,,,,,,,,,Deutschland
Valentin Schatz,,Access to Fisheries in the United Kingdom’s Territorial Sea after its Withdrawal from the European Union: A European and International Law Perspective,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_schatz.pdf,,,,,,,,,Deutschland
Julia Bialek,,Evaluating the Zero Draft on a UN Treaty on Business and Human Rights: What Does it Regulate and how Likely is its Adoption by States?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_bialek.pdf,,,,,,,,,Deutschland
Ioannis Kampourakis,,CSR and Social Rights: Juxtaposing Societal Constitutionalism and Rights-Based Approaches Imposing Human Rights Obligations on Corporations,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_kampourakis.pdf,,,,,,,,,Deutschland
Viljam Engström,,Unpacking the Debate on Social Protection Floors,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/93/93_article_engstroem.pdf,,,,,,,,,Deutschland
Liam Halewood,,Avoiding the Legal Black Hole: Re-evaluating the Applicability of the European Convention on Human Rights to the United Kingdom´s Targeted Killing Policy,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/92/92_article_halewood.pdf,,,,,,,,,Deutschland
Édith Vanspranghe,,Advancing the Rule of Law Through Executive Measures: The Case of MINUSCA,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/92/92_article_vanspranghe.pdf,,,,,,,,,Deutschland
Andreas L. Paulus & Johann Ruben Leiss,,Constitutionalism and the Mechanics of Global Law Transfers,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_paulus_leiss.pdf,,,,,,,,,Deutschland
Floris Tan,,The Dawn of Article 18 ECHR: A Safeguard Against European Rule of Law Backsliding?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_tan.pdf,,,,,,,,,Deutschland
Andreas Th. Müller,,Promoting the Rule of Law Through the Law of Occupation? An Uneasy Relationship,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_mueller.pdf,,,,,,,,,Deutschland
Astrid Wiik & Frauke Lachenmann,,The Law Behind Rule of Law Promotion in Fragile States: The Case of Afghanistan,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_wiik_lachenmann.pdf,,,,,,,,,Deutschland
Kei Hannah Brodersen,,The Rule of Law à la ICTY: What the ICTY Deemed Just Good Enough and How it Supported the Countries in the Former Yugoslavia to Become Better,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_brodersen.pdf,,,,,,,,,Deutschland
Peter-Tobias Stoll,,International Investment Law and the Rule of Law,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/91/91_article_stoll.pdf,,,,,,,,,Deutschland
Tim Kluwen,,Universal Jurisdiction in Absentia Before Domestic Courts Prosecuting International Crimes: A Suitable Weapon to Fight Impunity?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/81/81_article_kluwen.pdf,,,,,,,,,Deutschland
Ezequiel Heffes & Brian E. Frenkel,,The International Responsibility of Non-State Armed Groups: In Search of the Applicable Rules,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/81/81_article_heffes_frenkel.pdf,,,,,,,,,Deutschland
Esmé Shirlow,,"Three Manifestations of Transparency in International Investment Law: A Story of Sources, Stakeholders and Structures",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/81/81_article_shirlow.pdf,,,,,,,,,Deutschland
Tomás Restrepo,,Modification of Renewable Energy Support Schemes Under the Energy Charter Treaty: Eiser and Charanne in the Context of Climate Change,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/81/81_article_restrepo.pdf,,,,,,,,,Deutschland
Peter H. Sand & Jonathan B. Wiener,,Towards a New International Law of the Atmosphere?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/72/72_article_sand_wiener.pdf,,,,,,,,,Deutschland
Robert Frau,,Law as an Antidote? Assessing the Potential of International Health Law Based on the Ebola-Outbreak 2014,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/72/72_article_frau.pdf,,,,,,,,,Deutschland
Sondre T. Helmersen,,The Use of Scholarship by the WTO Appellate Body,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/72/72_article_helmersen.pdf,,,,,,,,,Deutschland
Tom Coppen,,The Evolution of Arms Control Instruments and the Potential of the Arms Trade Treaty,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/72/72_article_coppen.pdf,,,,,,,,,Deutschland
Valentin J. Schatz,,Combating Illegal Fishing in the Exclusive Economic Zone - Flag State Obligations in the Context of the Primary Responsibility of the Coastal State,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/72/72_article_schatz.pdf,,,,,,,,,Deutschland
Tim Staal,,Exercising or Evading International Public Authority? The Many Faces of Environmental Post-Treaty Instruments,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/71/71_article_staal.pdf,,,,,,,,,Deutschland
Biel Company,,A Public Law Approach to Internet Standard Setting,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/71/71_article_biel_company.pdf,,,,,,,,,Deutschland
Matthias Goldmann & Mona Sonnen,,Soft Authority Against Hard Cases of Racially Discriminating Speech: Why the CERD Committee Needs a Margin of Appreciation Doctrine,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/71/71_article_goldmann_sonnen.pdf,,,,,,,,,Deutschland
Clemens A. Feinäugle,,The UN Declaration on the Rule of Law and the Application of the Rule of Law to the UN: A Reconstruction From an International Public Authority Perspective,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/71/71_article_feinaeugle.pdf,,,,,,,,,Deutschland
Heike Krieger,,Between Evolution and Stagnation – Immunities in a Globalized World,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/62/62_article_krieger.pdf,,,,,,,,,Deutschland
Sergio Dellavalle,,Opening the Forum to the Others: Is There an Obligation to Take Non-National- Interests Into Account Within National Political and Juridical Decision-Making-Processes?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/62/62_article_dellavalle.pdf,,,,,,,,,Deutschland
Tim Banning,,The ‘Bonn Powers’ of the High Representative in Bosnia Herzegovina: Tracing a Legal Figment,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/62/62_article_banning.pdf,,,,,,,,,Deutschland
Mélanie Vianney-Liaud,,Determining the Relationship Between International and Domestic Laws Within an Internationalized Court: An Example From the Cambodian Extraordinary Chambers’ Jurisdiction Over International and Domestic Crimes,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/62/62_article_vianney-liaud.pdf,,,,,,,,,Deutschland
Frances Nguyen,,"Untangling Sex, Marriage, and Other Criminalities in Forced Marriage",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/61/61_article_nguyen.pdf,,,,,,,,,Deutschland
Otto Spijkers,,Bystander Obligations at the Domestic and International Level Compared,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/61/61_article_spijkers.pdf,,,,,,,,,Deutschland
Claudia Manrique Carpio & Jaume Comas Mir,,The Least-Developed Countries Services Waiver: Any Alternative Under the GATS?,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/61/61_article_carpio_mir.pdf,,,,,,,,,Deutschland
Pananya Larbprasertporn,,The Interaction Between WTO Law and the Principle of Common but Differentiated Responsibilities in the Case of Climate-Related Border Tax Adjustments,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/61/61_article_larbprasertporn.pdf,,,,,,,,,Deutschland
Alejandro Rodiles,,Non-Permanent Members of the United Nations Security Council and the Promotion of the International Rule of Law,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/52/52_article_rodiles.pdf,,,,,,,,,Deutschland
Giovanni Boggero,,"Without (State) Immunity, No (Individual) Responsibility",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/52/52_article_boggero.pdf,,,,,,,,,Deutschland
Marlitt Brandes,,"""All’s Well That Ends Well"" or ""Much Ado About Nothing""?: A Commentary on the Arms Trade Treaty",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/52/52_article_brandes.pdf,,,,,,,,,Deutschland
Wolfgang Alschner,,"Americanization of the BIT Universe: The Influence of Friendship, Commerce and Navigation (FCN) Treaties on Modern Investment Treaty Law",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/52/52_article_walschner.pdf,,,,,,,,,Deutschland
Lars Schönwald,,The Possible Future of Promoting and Protecting European Investments in Sub-Saharan Africa,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/52/52_article_schoenwald.pdf,,,,,,,,,Deutschland
Sílvia Maria da Silveira Loureiro,,"""By What Right?"": The Contributions of the Peninsular School for Peace to the Basis of the International Law of Indigenous Peoples",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_loureiro.pdf,,,,,,,,,Deutschland
Padraig McAuliffe,,Romanticization Versus Integration?: Indigenous Justice in Rule of Law Reconstruction and Transitional Justice Discourse,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_mcauliffe.pdf,,,,,,,,,Deutschland
Katja Göcke,,Protection and Realization of Indigenous Peoples' Land Rights at the National and International Level,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_goecke.pdf,,,,,,,,,Deutschland
"Giovana F. Teodoro, Ana Paula N. L. Garcia",,A Step Further on Traditional Peoples Human Rights: Unveiling the Key-Factor for the Protection of Communal Property,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_teodoro_garcia.pdf,,,,,,,,,Deutschland
Efrén C. Olivares Alanís,,Indigenous Peoples' Rights and the Extractive Industry: Jurisprudence From the Inter-American System of Human Rights,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_alanis.pdf,,,,,,,,,Deutschland
Gonzalo Aguilar Cavallo,,"Pascua Lama, Human Rights, and Indigenous Peoples: A Chilean Case Through the Lens of International Law",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_cavallo.pdf,,,,,,,,,Deutschland
"Derek Inman, Stefaan Smis, Dorothee Cambou",,"""We Will Remain Idle No More"": The Shortcomings of Canada’s ‘Duty to Consult’ Indigenous Peoples",,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_inman_smis_cambou.pdf,,,,,,,,,Deutschland
Sven Pfeiffer,,Rights of Indigenous Peoples and the International Drug Control Regime: The Case of Traditional Coca Leaf Chewing,,Goettingen J. of International Law,GoJIL,,,,,https://www.gojil.eu/issues/51/51_article_pfeiffer.pdf,,,,,,,,,Deutschland
Katharina Knoche,,Mietrechtliche Fragen der nichtehelichen Lebensgemeinschaft,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1147,,,,,,Deutschland
Jonas Tafel,,Von der Parlamentsarmee zur europäischen Armee? Verfassungsrechtliche Perspektiven einer Integration der Bundeswehr,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1148,,,,,,Deutschland
Karsten Gies,,Das Jugendgerichtsgesetz von 1923,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1149,,,,,,Deutschland
"Luise Golok, Jakob Schünemann",,Mietvertragsanfechtung wegen politischer Gesinnung? Anmerkung zum Urteil des Amtsgerichts Göttingen vom 24. 10. 2017 (AZ: 18 C 41/17),,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1150,,,,,,Deutschland
Hannes Kamin,,"Vertrauen ist gut, Kontrolle ist besser: Fallbearbeitung im Bürgerlichen Recht für Fortgeschrittene",,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1151,,,,,,Deutschland
Semra Sagir,,Nichts für schwache Nerven: Fallbearbeitung im Öffentlichen Recht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1152,,,,,,Deutschland
Christian magaard,,Katzenkönig reloaded: Fallbearbeitung im Strafrecht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1153,,,,,,Deutschland
"Florian Korbmacher, Christian Margaard",,Ein Auslandsjahr in Nottingham oderDer Studienfortschritt eines Erasmus-Aufenthalts,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1154,,,,,,Deutschland
"Charlotte Hildebrand, Julian Jansen",,Rechtsprechungsübersicht im Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1155,,,,,,Deutschland
Jakob Schünemann,,Rechtsprechungsübersicht im Öffentlichen Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1156,,,,,,Deutschland
"Fiona Galwik, Felix Hohenhövel",,Rechtsprechungsübersicht im Strafrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 1,",Nr. 1,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1157,,,,,,Deutschland
Rabea Buskotte,,"Nun sag, wer ist mein Vater?“ – Eine Besprechung der jüngsten Normierung des Auskunftsanspruchs des Spenderkindes nach einer Samenspende",,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1158,,,,,,Deutschland
Nils Imgarten,,Legitimation durch Beteiligung? Einbeziehung der Zivilgesellschaft in die Gesetzgebung der Europäischen Union,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1159,,,,,,Deutschland
Leonie Schene,,Zanken ums Tanken – Der böswillige Tankvorgang im sachenrechtlichen Kontext: Fallbearbeitung im Bürgerlichen Recht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1160,,,,,,Deutschland
Denise Wenzl,,Von enttäuschten Fußballfans undgrauenhaften Parkbedingungen: Fallbearbeitung im Strafrecht für Fortgeschrittene,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1161,,,,,,Deutschland
"Gesche Butenschön, Christian Voß",,Die Philip C. Jessup International Law Moot Court Competition,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1162,,,,,,Deutschland
"Anne Daetz, Alina Erzmann, Lorenz Lang, Lara Schmidt",,Spring School 2018 zum Thema Menschenrechte in Vietnam,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1163,,,,,,Deutschland
"Charlotte Hildebrand, Lotta Schestak",,Der Schwerpunkt – vor oder nach der staatlichen Pflichtfachprüfung?,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1164,,,,,,Deutschland
Charlotte Hildebrand,,Rechtsprechungsübersicht Zivilrecht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1165,,,,,,Deutschland
"Julian Jansen, Sophie Norbeck",,Rechtsprechungsübersicht im Öffentlichen Recht,,Göttinger Rechtszeitschrift,GRZ,"Band 2,",Nr. 2,,,,,,https://journals.uni-goettingen.de/goettinger-rechtszeitschrift/article/view/1166,,,,,,Deutschland
