Titel,Zeitschrift,Zeitschriftkürzel,Land
Gesamtausgabe Heft 01/2018,Ordnung der Wissenschaft,OdW,Deutschland
Aufenthaltsrechte von drittstaatsangehörigen Wissenschaftlern,Ordnung der Wissenschaft,OdW,Deutschland
Der Wissensgesellschaft auf der Spur – das Leibniz Forschungszentrum Wissenschaft und Gesellschaft (LCSS),Ordnung der Wissenschaft,OdW,Deutschland
Befristete Erhöhung oder Verringerung der Arbeits- zeit im Geltungsbereich des WissZeitVG,Ordnung der Wissenschaft,OdW,Deutschland
"Replik auf Unger, OdW 2017, 273 (282 ff.)",Ordnung der Wissenschaft,OdW,Deutschland
Soziale Ungleichheit im Kontext des Hochschulqualifikations- und ‑verteilungsrechts an deutschen Hochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Rezension Preis/Ulber: Kommentar zum Wissenschaftszeitvertragsgesetz,Ordnung der Wissenschaft,OdW,Deutschland
Kommentierungen zum Wissenschaftszeitvertragsgesetz (WissZeitVG) – Ein aktueller Überblick,Ordnung der Wissenschaft,OdW,Deutschland
Streit um die Zweitveröffentlichungspflicht geht zum Bundesverfassungsgericht,Ordnung der Wissenschaft,OdW,Deutschland
Vanitas vanitatum und die Hochschulreform,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 02/2018,Ordnung der Wissenschaft,OdW,Deutschland
Geistiges Eigentum in Forschungsverbünden,Ordnung der Wissenschaft,OdW,Deutschland
"Diskussionsbericht zum Vortrag von Prof. Dr. Christoph Kumpan, LL.M. (Univ. of Chicago): Governance in der Kooperationsform",Ordnung der Wissenschaft,OdW,Deutschland
Für eine wissenschaftsadäquate Kooperationsform – eine Heranführung,Ordnung der Wissenschaft,OdW,Deutschland
Eine Rechtsform für Wissenschaftskooperationen –Ausgangspunkte und Grundlagen –,Ordnung der Wissenschaft,OdW,Deutschland
Zwischen Völkerrecht und Frascati: Praktische Aspekte der Ausgestaltung internationaler Kooperationen am Deutschen Elektronen-Synchrotron (DESY),Ordnung der Wissenschaft,OdW,Deutschland
"Berichterstattung zur Diskussion im Anschluss an den Vortrag von Christian Harringa, Administrativer Direktor am Deutschen Elektronen-Synchroton (DESY)",Ordnung der Wissenschaft,OdW,Deutschland
Forschungskooperationen: Öffentliches oder Zivilrecht? – Positionsbestimmungen und Regelungszuständigkeiten –,Ordnung der Wissenschaft,OdW,Deutschland
Berichterstattung zur Diskussion zum Vortrag von Herrn Prof. Dr. Geis: Forschungskooperationen: Öffentliches oder Zivilrecht? – Positionsbestimmungen und Regelungszuständigkeiten –,Ordnung der Wissenschaft,OdW,Deutschland
Rechtsform und Zurechnungen zwischen Transparenz und Abschirmwirkung am Beispiel der Wissenschafts- und Forschungskooperationen,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 03/2018,Ordnung der Wissenschaft,OdW,Deutschland
Zwischen Realität und Utopie: Die „Numerus clausus III“-Entscheidung des BVerfG,Ordnung der Wissenschaft,OdW,Deutschland
Zurück zur Professorenmehrheit – Anmerkungen zum Gesetz zur Weiterentwicklung des Hochschulrechts vom 13. März 2018 –,Ordnung der Wissenschaft,OdW,Deutschland
Der Befristungsgrund gem. § 14 Abs. 2 TzBfG im Anwendungsbereich des WissZeitVG,Ordnung der Wissenschaft,OdW,Deutschland
Die Nichtzurechnung der Amtsmitglieder im Senat zur Hochschullehrergruppe – Zu Geltung und Gren- zen des demokratischen Repräsentationsprinzips in der Hochschulselbstverwaltung,Ordnung der Wissenschaft,OdW,Deutschland
Die Verantwortung der Hochschulen für den wissenschaftlichen Nachwuchs,Ordnung der Wissenschaft,OdW,Deutschland
250. Geburtstag von Wilhelm von Humboldt Eine Ikonografie mit alternativfaktischer Einfärbung,Ordnung der Wissenschaft,OdW,Deutschland
"Rückforderung von Berufungs-Leistungsbezügen bei vorzeitigem Hochschulwechsel – BayVGH, Urt. vom 18.8.2017, 3 BV 16.132",Ordnung der Wissenschaft,OdW,Deutschland
Vorlesung – ja oder nein?,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 04/2018,Ordnung der Wissenschaft,OdW,Deutschland
Institutionelle Akkreditierung von Privathochschulen und Wissenschaftsfreiheit,Ordnung der Wissenschaft,OdW,Deutschland
Beschränkung befristeter Arbeitsverträge nach dem Koalitionsvertrag: Auswirkungen auf Hochschulen und Forschungseinrichtungen,Ordnung der Wissenschaft,OdW,Deutschland
Das NC-Urteil des BVerfG vom 19.12.2017 aus grundrechtsdogmatischer Sicht,Ordnung der Wissenschaft,OdW,Deutschland
Das NC-Urteil des BVerfG vom 19.12.2017 aus Sicht der universitären Ausbildung,Ordnung der Wissenschaft,OdW,Deutschland
Die neue Schrankenregelung für Text und Data Mining und ihre Bedeutung für die Wissenschaft,Ordnung der Wissenschaft,OdW,Deutschland
Zur Offenlegung von Gutachternamen im Wissenschaftsbereich,Ordnung der Wissenschaft,OdW,Deutschland
Forschungszulagen für Hochschullehrer – wer entscheidet?,Ordnung der Wissenschaft,OdW,Deutschland
Der Brexit und die Forschung in der EU –Ein Update anlässlich des Weißbuchs der britischen Regierung vom 12. Juli 2018,Ordnung der Wissenschaft,OdW,Deutschland
Die drei Grundtypen der Universitäten in historischer Perspektive,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 01/2019,Ordnung der Wissenschaft,OdW,Deutschland
More Than Welcome: A Berlin Call for University Ethics,Ordnung der Wissenschaft,OdW,Deutschland
"Das Verhältnis von Steuerung, Freiheit und Partizipation in der Hochschulorganisation aus verfassungsrechtlicher Sicht",Ordnung der Wissenschaft,OdW,Deutschland
Privathochschulfreiheit – auch bei der Organisation der Leitungsebene?,Ordnung der Wissenschaft,OdW,Deutschland
Mit überlegter und prophetischer Entschlossenheit. Aspekte der Neuausrichtung kirchlicher Universitäten und Fakultäten gemäß Veritatis gaudium,Ordnung der Wissenschaft,OdW,Deutschland
Konsequenzen der Entscheidung des Bundesverfassungsgerichts zum Dritten Numerus-Clausus-Urteil vom 19.12.2017 aus anwaltlicher Sicht,Ordnung der Wissenschaft,OdW,Deutschland
Status und Alter in der akademischen Selbstverwaltung,Ordnung der Wissenschaft,OdW,Deutschland
"Der Rechtsweg beim Konkurrentenrechtsstreit um eine durch privaten Dienstvertrag zu besetzende Stelle – OVG Rheinland-Pfalz, Beschluss vom 19.1.2018, 2 E 10045/18 und LAG Rheinland-Pfalz, Beschluss vom 15.8.2018, 2 Ta 77/18",Ordnung der Wissenschaft,OdW,Deutschland
"Fortführung des bisherigen Namens der Partnerschaftsgesellschaft durch die nicht promovierten Partner bei Ausscheiden des promovierten Namensgebers – Anmerkung zu BGH, Beschluss vom 8.5.2018, II ZB 27/17",Ordnung der Wissenschaft,OdW,Deutschland
JurOA-Tagung Frankfurt vom 18. und 19. Oktober 2018,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 02/2019,Ordnung der Wissenschaft,OdW,Deutschland
Der Angebotscharakter der Konkordate und Kirchenverträge — Die wissenschaftliche Vorbildung der Geistlichen an den staatlichen theologischen Fakultäten,Ordnung der Wissenschaft,OdW,Deutschland
Open Access in Baden-Württemberg: Rechtswidriger Zweitveröffentlichungszwang zwischen Urheber- und Hochschulrecht,Ordnung der Wissenschaft,OdW,Deutschland
Der gerichtliche Kapazitätsüberprüfungsanspruch von Nicht-EU-Ausländern und Staatenlosen im Hochschulzulassungsrecht,Ordnung der Wissenschaft,OdW,Deutschland
Die Hochschullehrermehrheit an privaten Hochschulen – Pflicht oder Kür?,Ordnung der Wissenschaft,OdW,Deutschland
Evaluation und Recht. Ansätze zu einem wissenschaftsadäquaten Modell der staatlichen Indienstnahme evaluativer Verfahren,Ordnung der Wissenschaft,OdW,Deutschland
"Berechnung der Höchstbefristungsgrenze gem. § 2 Abs. 1 Satz 1 und 2 WissZeitVG – Anmerkung zu LAG Berlin-Brandenburg, Urteil vom 16. August 2018 – 21 Sa 201/18",Ordnung der Wissenschaft,OdW,Deutschland
"Die Stellung der Kanzlerinnen und Kanzler an Hochschulen (Tagungsbericht) Zum Beschluss des Bundesverfassungsgerichts vom 24. April 2018, Az.: 2 BvL 10/16",Ordnung der Wissenschaft,OdW,Deutschland
Belegverbindung,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 03/2019,Ordnung der Wissenschaft,OdW,Deutschland
Hochschulgovernance statt Unternehmerischer Hochschule? Zu den Empfehlungen des Wissenschaftsrats,Ordnung der Wissenschaft,OdW,Deutschland
Der Wandel universitärer Entscheidungsstrukturen in den USA,Ordnung der Wissenschaft,OdW,Deutschland
50 Jahre Fachhochschule Über das langsame Entstehen eines neuen Hochschultyps,Ordnung der Wissenschaft,OdW,Deutschland
Die EU-beihilferechtliche Trennungsrechnung in der Wissenschaft – Überblick und aktuelle Rechtsfragen,Ordnung der Wissenschaft,OdW,Deutschland
Tarifeinheit und Wissenschaftsfreiheit,Ordnung der Wissenschaft,OdW,Deutschland
Funktionsverschiebungen zwischen Schule und Hochschule,Ordnung der Wissenschaft,OdW,Deutschland
Unwirksamkeit des Verzichts auf Ausbildungsvergütung zum Erhalt von BAföG-Leistungen,Ordnung der Wissenschaft,OdW,Deutschland
"Verträge über Forschung und Entwicklung, 3. Auflage 2017",Ordnung der Wissenschaft,OdW,Deutschland
Preisaufgabe an alle Juristenfakultäten der ganzen Welt,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 04/2019,Ordnung der Wissenschaft,OdW,Deutschland
Legal Tech – ein neues (Ordnungs-) Prinzip der Rechtswissenschaft?,Ordnung der Wissenschaft,OdW,Deutschland
Unterrichtsausfall und chancengleicher Hochschulzugang,Ordnung der Wissenschaft,OdW,Deutschland
Wissenschaftsfreiheit und Steuerung am Beispiel des universitären Berufungsverfahrens im deutsch-italienischen Vergleich,Ordnung der Wissenschaft,OdW,Deutschland
Tax Compliance Management bei Wissenschaftseinrichtungen,Ordnung der Wissenschaft,OdW,Deutschland
Datenschutzpflichten studentischer Hilfskräfte,Ordnung der Wissenschaft,OdW,Deutschland
"Gerrit Hellmuth Stumpf, Ungeschriebener Parlamentsvorbehalt und akademische Selbstverwaltungs- garantie, Mohr Siebeck, 2017",Ordnung der Wissenschaft,OdW,Deutschland
"George Turner, Hochschulreformen — Eine unendliche Geschichte seit den 1950er Jahren, Verlag Duncker und Humblot, Berlin, 2018",Ordnung der Wissenschaft,OdW,Deutschland
Evaluationen im deutschen Wissenschaftssystem – Bericht über die Tagung des Vereins zur Förderung des deutschen und des internationalen Wissenschaftsrechts am 7. und 8. März 2019 in Berlin,Ordnung der Wissenschaft,OdW,Deutschland
Humanismus und Wissenschaft,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 01/2020,Ordnung der Wissenschaft,OdW,Deutschland
Künstliche Intelligenz,Ordnung der Wissenschaft,OdW,Deutschland
"Key Elements of Responsible Artificial Intelligence – Disruptive Technologies, Dynamic Law",Ordnung der Wissenschaft,OdW,Deutschland
Probleme bei Zusammensetzung und Verfahren von Berufungsausschüssen und Tenure-Track-Gremien,Ordnung der Wissenschaft,OdW,Deutschland
Verbindlich und kompakt. Der neue DFG-Kodex „Leitlinien zur Sicherung guter wissenschaftlicher Praxis,Ordnung der Wissenschaft,OdW,Deutschland
Urheberrecht und Forschungsdaten,Ordnung der Wissenschaft,OdW,Deutschland
Reformieren bis zur Selbstauflösung ? — oder Weshalb die Geisteswissenschaften den „Bologna Prozess“ überlebten,Ordnung der Wissenschaft,OdW,Deutschland
Korporative Identität,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 02/2020,Ordnung der Wissenschaft,OdW,Deutschland
Wie Hochschulen mit anonymen Verdachtsäußerungen umgehen müssen,Ordnung der Wissenschaft,OdW,Deutschland
Die Verantwortlichkeit für die Verarbeitung von Forschungsdaten an Hochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Zur Unbeachtlichkeit von Besetzungsfehlern für die Tätigkeit von Hochschulgremien nach § 10 Abs. 5 LHG BW,Ordnung der Wissenschaft,OdW,Deutschland
Wahrheit und Zweifel Zur Zukunft des Wissenschaftsjournalismus,Ordnung der Wissenschaft,OdW,Deutschland
The Recognition of Higher Education Diplomas and Qualifications,Ordnung der Wissenschaft,OdW,Deutschland
Nochmal: Rückforderung von Berufungs-Leistungsbezügen wegen vorzeitigem Wechsel der Hochschule,Ordnung der Wissenschaft,OdW,Deutschland
Tagungsbericht zur 20. Freiburger Arbeitstagung „Besteuerung von Hochschulen“ am 5./6.11.2019,Ordnung der Wissenschaft,OdW,Deutschland
Die Bundesregierung zu den Konfuzius-Instituten,Ordnung der Wissenschaft,OdW,Deutschland
Unparteilichkeit,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 03/2020,Ordnung der Wissenschaft,OdW,Deutschland
"Reine Online-Hochschullehre: Möglichkeiten und Grenzen im Lichte von Ausbildungsauftrag, Lehrfreiheit und Datenschutz",Ordnung der Wissenschaft,OdW,Deutschland
"Rechtsfragen des digitalen Unterrichts, digitaler Prüfungen und virtueller Gremiensitzungen an Hochschulen",Ordnung der Wissenschaft,OdW,Deutschland
Die subjektive Seite wissenschaftlichen Fehlverhaltens,Ordnung der Wissenschaft,OdW,Deutschland
Die Digitalisierung von Forschung und Lehre – auf dem Weg in eine „öffentliche“ Rechtswissenschaft?,Ordnung der Wissenschaft,OdW,Deutschland
Gesetzesänderung zur Unterstützung von Wissenschaft und Studierenden – Änderungen des WissZeitVG und BAföG aufgrund der COVID-19-Pandemie,Ordnung der Wissenschaft,OdW,Deutschland
Über das Jurastudium in Polen Zwischen Anpassung und Kontinuität,Ordnung der Wissenschaft,OdW,Deutschland
"Besprechung des „Handbuch Wissenschaftsgeschichte“, hrsg. von Marianne Sommer/Steffan Müller-Wille/Carsten Reinhardt, Metzler/Springer, 2017",Ordnung der Wissenschaft,OdW,Deutschland
"Besprechung von Jonas Botta, Datenschutz bei E‑Learning-Plattformen, Rechtliche Herausforderungen digitaler Hochschulbildung am Beispiel der Massive Open Online Courses (MOOCs), Nomos, 2020",Ordnung der Wissenschaft,OdW,Deutschland
Ansteckende Krankheiten,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 04/2020,Ordnung der Wissenschaft,OdW,Deutschland
Die institutionelle Akkreditierung privater Hochschulen durch den Wissenschaftsrat: Probleme demokratischer Legitimation und rechtsstaatlicher Bindung,Ordnung der Wissenschaft,OdW,Deutschland
Außenwirtschaftsrechtliche Compliance bei der Einstellung ausländischer Wissenschaftler,Ordnung der Wissenschaft,OdW,Deutschland
Arbeitszeit im deutschen Wissenschaftssystem im Lichte des EuGH-Urteils zur Arbeitszeiterfassung,Ordnung der Wissenschaft,OdW,Deutschland
Zu den Anforderungen der Wissenschaftsfreiheit an die Rechtsstellung des kollegialen Selbstverwaltungsorgans — Anmerkungen zu den Nichtannahmebeschlüssen des Bundesverfassungsgerichts vom 5.2. und 6.3.2020,Ordnung der Wissenschaft,OdW,Deutschland
"Berechnung der Promotionszeiten gem. § 2 Abs. 1 Satz 2 HS 2 WissZeitVG – Zugleich Anmerkung zu BAG, Urteil vom 23. März 2016 – 7 AZR 70/14, vom 18. Mai 2016 – 7 AZR 712/14 und vom 21. August 2019 – 7 AZR 563/17",Ordnung der Wissenschaft,OdW,Deutschland
"Rezension: Volker Haug (Hrsg.), Das Hochschulrecht in Baden- Württemberg. Systematische Darstellung, 3., neu bearbeitete Auflage, C. F. Müller, Heidelberg 2020.",Ordnung der Wissenschaft,OdW,Deutschland
Von der Vorsorge vor die Wissensschaften,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe Heft 01/2021,Ordnung der Wissenschaft,OdW,Deutschland
Unparteilichkeit versus Fachkompetenz: Zum Umgang mit befangenen Mitgliedern in Berufungsausschüssen,Ordnung der Wissenschaft,OdW,Deutschland
"Zwischenbilanz zum Corona-Hochschulrecht aus Sicht der Hochschulpraxis, Teil I – Online-Lehre",Ordnung der Wissenschaft,OdW,Deutschland
Das Promotionsrecht für Fachhochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Zur Unvergleichbarkeit akademischer Systeme,Ordnung der Wissenschaft,OdW,Deutschland
"Wiederzuweisung von Personal- und Sachmitteln aus einer Bleibezusage – VGH Baden-Württemberg, Urt. v. 20.04.2020, 9 S 1897/18",Ordnung der Wissenschaft,OdW,Deutschland
"Wie viele Tage hat das Jahr? Berechnung der Höchstbefristungsgrenzen gem. § 2 WissZeitVG –Anmerkungen zu BAG, Urteil vom 20. Mai 2020 – 7 AZR 72/19 und LAG Hamm, Urteil vom 28. November 2019 – 11 Sa 381/19",Ordnung der Wissenschaft,OdW,Deutschland
Lehre und Prüfungen in der Coronazeit – aktuelle rechtliche Fragestellungen: Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 30.10.2020,Ordnung der Wissenschaft,OdW,Deutschland
Ausschreibung des Preises für Wissenschaftsrecht,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 02/2021,Ordnung der Wissenschaft,OdW,Deutschland
Mein Prof ist ein Nazi — Politischer Extremismus und Beschäftigungsverhältnisse an staatlichen Hochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Ethikkommissionen: Gefahr oder Chance für die Wissenschaftsfreiheit?,Ordnung der Wissenschaft,OdW,Deutschland
"Zwischenbilanz zum Corona-Hochschulrecht aus Sicht der Hochschulpraxis, Teil II – Methodische und rechtliche Grundfragen zu Online-Prüfungen",Ordnung der Wissenschaft,OdW,Deutschland
Forschung und Lehre am Küchentisch? Homeoffice und mobiles Arbeiten in Hochschulen und Forschungseinrichtungen,Ordnung der Wissenschaft,OdW,Deutschland
Europäische Bildung und Forschung post Brexit,Ordnung der Wissenschaft,OdW,Deutschland
Die Systematik der Wissenschaften und die Stellung der Jurisprudenz,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 03/2021,Ordnung der Wissenschaft,OdW,Deutschland
Das Verhältnis von Didaktik und Recht im Kontext von Online-Prüfungen,Ordnung der Wissenschaft,OdW,Deutschland
Befristung wissenschaftlicher Mitarbeiter an Fachhochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Zur Rechtsstaatlichkeit universitätsinterner Verfahren bei Entlassung oder öffentlicher Degradierung von Professor*innen,Ordnung der Wissenschaft,OdW,Deutschland
Der Beschluss des BVerfG zum brandenburgischen Hochschulkanzler und seine „Konsequenzen“,Ordnung der Wissenschaft,OdW,Deutschland
"Die Förderung der eigenen wissenschaftlichen Qualifizierung als Tatbestandsmerkmal der sachgrundlosen Befristungen gem. § 2 Abs. 1 WissZeitVG? – Anmerkung zu LAG Köln, Urteil vom 7. Oktober 2020 – 5 Sa 451/20",Ordnung der Wissenschaft,OdW,Deutschland
Prüfungen in der Coronazeit – aktuelle rechtliche FragestellungenBericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 15.1.2021,Ordnung der Wissenschaft,OdW,Deutschland
Ausgegraben,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 04/2021,Ordnung der Wissenschaft,OdW,Deutschland
AlternativlosUnter dem Hashtag #IchbinHanna wehren sich Forschende gegen das Befristen von Arbeitsstellen. Zu Recht?,Ordnung der Wissenschaft,OdW,Deutschland
Das neue bayerische HochschulinnovationsgesetzEin symphonischer Werkstattbericht,Ordnung der Wissenschaft,OdW,Deutschland
Zur Reform der staatlichen Anerkennung und der institutionellen Akkreditierung privater Hochschulen,Ordnung der Wissenschaft,OdW,Deutschland
Juristische Aspekte des Umgangs mit den Missbrauchsfällen in der Evangelischen Kirche,Ordnung der Wissenschaft,OdW,Deutschland
Juristenlehranstalt oder „Forschungsfakultät“?Zur Rolle der universitären Forschungsorientierung in juristischen Fakultäten zur Zeit desDeutschen Kaiserreichs am Beispiel der Freiburger Rechtsfakultät,Ordnung der Wissenschaft,OdW,Deutschland
Wiederholung einer Online-Prüfung bei fehlender Identitätskontrolle und Aufsicht? – Eine Analyse des Beschlusses des VG Frankfurt/Oder vom 11. Mai 2021,Ordnung der Wissenschaft,OdW,Deutschland
Meinungs- und Lehrfreiheit – Was müssen Hochschulen aushalten? Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 24.06.2021,Ordnung der Wissenschaft,OdW,Deutschland
Ein aktueller Überblick zur Kommentierung desWissenschaftszeitvertragsgesetzes,Ordnung der Wissenschaft,OdW,Deutschland
Die Scheu vor Individualentscheidungen,Ordnung der Wissenschaft,OdW,Deutschland
Die Wechselwirkung von § 2 Abs. 3 S. 1 WissZeitVG und § 2 Abs. 5 S. 3 WissZeitVG –Zur Betreuungsverlängerung und Anrechenbarkeit von Unterbrechungszeiten bei Drittmittelbefristung gem. § 2 Abs. 2 WissZeitVG,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 2022/1,Ordnung der Wissenschaft,OdW,Deutschland
Hochschulrechtsreform in PermanenzZur Entwicklung des Hochschulorganisationsrechts seit der Jahrtausendwende,Ordnung der Wissenschaft,OdW,Deutschland
Sind die Konfuzius-Institute steuerlich gemeinnützig?,Ordnung der Wissenschaft,OdW,Deutschland
Keine Landeskompetenz für § 110 Abs. 6 Satz 2 BerlHG und § 95 Abs. 1 Satz 2 BerlHG(jeweils i.d.F. vom 25. September 2021),Ordnung der Wissenschaft,OdW,Deutschland
Neues Bundespersonalvertretungsgesetz: Relevanz für das Personalvertretungsrecht der Hochschulen der Länder,Ordnung der Wissenschaft,OdW,Deutschland
Staatliche Steuerungsmöglichkeiten zurFörderung des Teilens von Forschungsdaten,Ordnung der Wissenschaft,OdW,Deutschland
Der Sexus im juristischen Sprachgebrauch,Ordnung der Wissenschaft,OdW,Deutschland
"Besprechung von Neukirchen, Mathias / Emmrich, Etienne (Hrsg.), Berufungen, Befangenheit und Bewerbungsverfahrensanspruch — Ein Kompendium für Berufungskommissionen, Bewerberinnen und Bewerber, Nomos, 2021",Ordnung der Wissenschaft,OdW,Deutschland
UnterrichtspolizeiMerkwürdiger und nachahmungswerter Gebrauch der Basler Universität,Ordnung der Wissenschaft,OdW,Deutschland
Manfred Löwisch zum 85. Geburtstag,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 2022/2,Ordnung der Wissenschaft,OdW,Deutschland
Verfassungsrechtliche Anforderungen an die Governance nichtstaatlicher Hochschulen– zugleich ein Beitrag zur Privathochschulfreiheit und zur Reichweite objektiv-rechtlicher Schutzpflichten im einschlägigen Hochschulorganisationsrecht –,Ordnung der Wissenschaft,OdW,Deutschland
Die Wissenschaftsprivilegierung in der DS-GVO,Ordnung der Wissenschaft,OdW,Deutschland
Die Wechselwirkung von § 2 Abs. 3 S. 1 WissZeitVG und § 2 Abs. 5 S. 3 WissZeitVG –Zur Betreuungsverlängerung und Anrechenbarkeit von Unterbrechungszeiten bei Drittmittelbefristung gem. § 2 Abs. 2 WissZeitVG,Ordnung der Wissenschaft,OdW,Deutschland
Weiterbeschäftigungsanspruch nach negativer Tenure-Evaluierung? * VG München v. 16.9.2021 – M 3 E 21.4116 versus BayVGH v. 25.10.2021 – 7 CE 21.2503,Ordnung der Wissenschaft,OdW,Deutschland
"Berücksichtigung vergangener Befristungen gem. WissZeitVG bei der Rechtsmissbrauchskontrolle einer Befristung gem. TzBfG? – Anmerkung zum Arbeitsgericht Gera, Urteil vom 27. Oktober 2021 – 1 Ca 19/21",Ordnung der Wissenschaft,OdW,Deutschland
Haben gemeinsame Berufungen Zukunft? Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 11. und 12. Dezember 2021,Ordnung der Wissenschaft,OdW,Deutschland
"Hochschulstudienrecht und Hochschulprüfungsrecht, Nomos, 3. Auflage 2021, 228 Seiten, ISBN 978–3‑8487–7036‑6",Ordnung der Wissenschaft,OdW,Deutschland
Zensurvorschriften im Vormärz,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 03/2022,Ordnung der Wissenschaft,OdW,Deutschland
Relevanz des FüPoG II für die Gremienbesetzung in Hochschulen und Forschungseinrichtungen,Ordnung der Wissenschaft,OdW,Deutschland
Universitäten der Bundeswehr ‑50 Jahre Gründungsprozess,Ordnung der Wissenschaft,OdW,Deutschland
Menschenrechtliche Vorgaben an die Transparenz KI-basierter Entscheidungen und deren Berücksichtigung in bestehenden Regulierungsansätzen,Ordnung der Wissenschaft,OdW,Deutschland
Zwischen Öffnung und Digitalisierung: Aktuelle Entwicklungen auf dem Gebiet des Hochschul-zugangsrechts,Ordnung der Wissenschaft,OdW,Deutschland
Eine neue GemeinschaftsaufgabeBildung in Art. 91b GG,Ordnung der Wissenschaft,OdW,Deutschland
Evaluation des novellierten Wissenschaftszeitvertragsgesetzes,Ordnung der Wissenschaft,OdW,Deutschland
Prüfungen in der Coronazeit – aktuelle rechtliche FragestellungenBericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 4.2.2022,Ordnung der Wissenschaft,OdW,Deutschland
Vom europäischen Geist,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 04/2022,Ordnung der Wissenschaft,OdW,Deutschland
Gefesselt vom Kosmos der Universität. Ein fiktiver Dialog mit Peter-André Alt über sein BuchExzellent!? Zur Lage der deutschen Universität,Ordnung der Wissenschaft,OdW,Deutschland
Befangenheit im Berufungsverfahren,Ordnung der Wissenschaft,OdW,Deutschland
Der fakultative Aufsichtsrat einer zu Forschungszwecken gegründeten GmbH,Ordnung der Wissenschaft,OdW,Deutschland
Nichtigkeit privatrechtlicher Zusatzverträgeverbeamteter Hochschullehrer in derbaden-württembergischen Universitätsmedizin?,Ordnung der Wissenschaft,OdW,Deutschland
Die Behandlung eines Täuschungsverdachts in Zeiten von Open-book-Prüfungen – Eine Analyse des Beschlusses des Sächsischen Oberverwaltungsgerichts vom 16. Februar 2022,Ordnung der Wissenschaft,OdW,Deutschland
"Zum Qualifizierungserfordernis nach § 2 Abs. 1 WissZeitVG — Anmerkung zu BAG, Urteil vom 2.02.2022 — 7 AZR 573/20",Ordnung der Wissenschaft,OdW,Deutschland
Gibt es eine angemessene Aufsicht für Wissen-schaftseinrichtungen?Bericht über die Tagung des Vereins zur Förderung des deutschen und internationalen Wissenschaftsrechts e.V. am 5./6.5.2022,Ordnung der Wissenschaft,OdW,Deutschland
"Berufung, Rückberufung und Ankunft an der Universität Halle",Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 01/2023,Ordnung der Wissenschaft,OdW,Deutschland
Zehn Jahre ODW,Ordnung der Wissenschaft,OdW,Deutschland
Themen und Perspektiven der juristischen Ausbildung,Ordnung der Wissenschaft,OdW,Deutschland
Künstliche Intelligenz in der Krebstherapie,Ordnung der Wissenschaft,OdW,Deutschland
Chancen und Risiken der Anonymisierung für die Forschung und Wissenschaft aus Sicht desDatenschutzrechts,Ordnung der Wissenschaft,OdW,Deutschland
"Erfüllung der Lehrverpflichtung durch Hochschullehrer – Anmerkung zu Verwaltungsgericht Freiburg, Urteil vom 8.10.2021, 1 K 2327/19",Ordnung der Wissenschaft,OdW,Deutschland
Sind Studierende verpflichtet an Lehrveranstaltun- gen teilnehmen? — Buchvorstellung der Dissertation „Die Zulässigkeit von Anwesenheitspflichten in Lehrveranstaltungen“,Ordnung der Wissenschaft,OdW,Deutschland
KI-Schöpfungen und Urheberrecht,Ordnung der Wissenschaft,OdW,Deutschland
Quittung für ein Stipendium,Ordnung der Wissenschaft,OdW,Deutschland
Gesamtausgabe 02/2023,Ordnung der Wissenschaft,OdW,Deutschland
